"COUNTRY","year","radius_km","value","year.lag","value.lag","diff_yoy","diff_yoy_absolute"
"Taiwan",2017,50,0.0108100205809146,2016,0.0133554997019534,-0.190594075687526,-0.00254547912103883
"Taiwan",2018,50,0.0271858695213673,2017,0.0108100205809146,1.51487675882549,0.0163758489404527
"Taiwan",2019,50,0.011705568194666,2018,0.0271858695213673,-0.569424542942585,-0.0154803013267013
"Taiwan",2020,2,-0.10773540268253,2019,0.011705568194666,-10.2037738699112,-0.119440970877196
"Taiwan",2020,20,-0.0971418793778867,2020,-0.10773540268253,-0.0983290825566402,0.0105935233046434
"Taiwan",2020,50,-0.00486566892389434,2020,-0.0971418793778867,-0.949911727515929,0.0922762104539923
"Taiwan",2020,200,-0.0180901153632236,2020,-0.00486566892389434,2.71790922197493,-0.0132244464393292
"Thailand",2005,50,0.0281327389823075,NA,NA,NA,NA
"Thailand",2006,50,0.0240300825961298,2005,0.0281327389823075,-0.145832099347235,-0.00410265638617771
"Thailand",2007,50,0.0296356879100297,2006,0.0240300825961298,0.233274492148553,0.00560560531389996
"Thailand",2008,50,0.0166125566745603,2007,0.0296356879100297,-0.439440828065338,-0.0130231312354694
"Thailand",2009,50,0.0148109228868456,2008,0.0166125566745603,-0.108450121375576,-0.0018016337877147
"Thailand",2010,50,0.0165822657391948,2009,0.0148109228868456,0.119597061296052,0.00177134285234918
"Thailand",2011,50,0.0171508976100507,2010,0.0165822657391948,0.0342915666531526,0.000568631870855887
"Thailand",2012,50,0.011416502139964,2011,0.0171508976100507,-0.334349583355115,-0.00573439547008669
"Thailand",2013,50,0.00704550814415278,2012,0.011416502139964,-0.382866305478134,-0.00437099399581123
"Thailand",2014,50,0.00992527516381046,2013,0.00704550814415278,0.408738015872945,0.00287976701965768
"Thailand",2015,50,-0.00441283059774024,2014,0.00992527516381046,-1.44460536608902,-0.0143381057615507
"Thailand",2016,50,0.0207816086588909,2015,-0.00441283059774024,-5.70936017111849,0.0251944392566311
"Thailand",2017,50,0.0205006862587308,2016,0.0207816086588909,-0.0135178370823531,-0.000280922400160106
"Thailand",2018,50,0.0114267959520151,2017,0.0205006862587308,-0.442613978488221,-0.00907389030671565
"Thailand",2019,50,0.00112619457308029,2018,0.0114267959520151,-0.901442663559448,-0.0103006013789349
"Thailand",2020,2,-0.033413427695632,2019,0.00112619457308029,-30.6693204658603,-0.0345396222687123
"Thailand",2020,20,-0.033413427695632,2020,-0.033413427695632,0,0
"Thailand",2020,50,0.0110340349165452,2020,-0.033413427695632,-1.33022756650578,0.0444474626121772
"Thailand",2020,200,0.0159799164281598,2020,0.0110340349165452,0.448238704066296,0.0049458815116145
"Trinidad",2005,50,0.000378488508776234,NA,NA,NA,NA
"Trinidad",2006,50,0.018909030427908,2005,0.000378488508776234,48.9593250242827,0.0185305419191317
"Trinidad",2007,50,0.00723353815349429,2006,0.018909030427908,-0.61745589330597,-0.0116754922744137
"Trinidad",2008,50,0.00898179377078723,2007,0.00723353815349429,0.24168748131209,0.00174825561729294
"Trinidad",2009,50,0.00706361380517552,2008,0.00898179377078723,-0.213563127206336,-0.00191817996561171
"Trinidad",2010,50,0.00168615221897572,2009,0.00706361380517552,-0.76129042930684,-0.0053774615861998
"Trinidad",2011,50,0.0148189893643348,2010,0.00168615221897572,7.78864268454767,0.0131328371453591
"Trinidad",2012,50,0.0049587757729896,2011,0.0148189893643348,-0.665376926113194,-0.00986021359134523
"Trinidad",2013,50,0.0121767520718507,2012,0.0049587757729896,1.45559642728299,0.00721797629886111
"Trinidad",2014,50,0.00907155959179632,2013,0.0121767520718507,-0.255009912473519,-0.00310519248005439
"Trinidad",2015,50,0.00634401225184993,2014,0.00907155959179632,-0.300670167278953,-0.00272754733994639
"Trinidad",2016,50,0.0080812612457369,2015,0.00634401225184993,0.273840737520704,0.00173724899388697
"Trinidad",2017,50,0.0102575440605359,2016,0.0080812612457369,0.269299896219424,0.002176282814799
"Trinidad",2018,50,0.00531446053792194,2017,0.0102575440605359,-0.481897371675117,-0.00494308352261395
"Trinidad",2019,50,0.0223008261841217,2018,0.00531446053792194,3.19625398005905,0.0169863656461998
"Trinidad",2020,2,0.0744230851220588,2019,0.0223008261841217,2.33723443730745,0.0521222589379371
